true_frequency_hz,assumed_frequency_hz,absolute_frequency_error_hz,relative_frequency_error,true_angle_deg,predicted_angle_deg,estimated_angle_deg,prediction_error_deg,aoa_error_deg,is_physically_feasible,used_alias_frequency,sampling_rate_hz,sampling_rates_mhz
500000000,500500000,500000,0.001,50,49.93183407170644,49.96521372953038,0.03337965782394292,-0.03478627046961691,True,False,,32+35
500000000,501000000,1000000,0.002,50,49.863900195457646,49.830644807638286,-0.03325538781935933,-0.1693551923617136,True,False,,32+35
500000000,502000000,2000000,0.004,50,49.72872269845317,49.76154101967928,0.032818321226109504,-0.238458980320722,True,False,,32+35
500000000,505000000,5000000,0.01,50,49.328608684428524,49.3613969091854,0.03278822475687804,-0.6386030908145983,True,False,,32+35
500000000,510000000,10000000,0.02,50,48.679154810960945,48.64996949754238,-0.029185313418565784,-1.3500305024576207,True,False,,32+35
500000000,520000000,20000000,0.04,50,47.44099444328819,47.41342022657012,-0.027574216718072364,-2.5865797734298823,True,False,,32+35
500000000,-12000000.0,-512000000.0,-1.024,50,nan,60.000000000001705,nan,10.000000000001705,False,True,32000000.0,32+35
500000000,10000000.0,-490000000.0,-0.98,50,nan,-60.0,nan,-110.0,False,True,35000000.0,32+35
800000000,780000000,-20000000,-0.025,-50,-51.784225801431795,-51.79697196750788,-0.012746166076084364,-1.7969719675078792,True,False,,32+35
800000000,790000000,-10000000,-0.0125,-50,-50.87228147498627,-50.84016206677787,0.03211940820840198,-0.8401620667778715,True,False,,32+35
800000000,795000000,-5000000,-0.00625,-50,-50.431388848613906,-50.40871802883031,0.022670819783598972,-0.4087180288303074,True,False,,32+35
800000000,798000000,-2000000,-0.0025,-50,-50.17143989156143,-50.19268154601545,-0.021241654454023262,-0.19268154601545007,True,False,,32+35
800000000,799000000,-1000000,-0.00125,-50,-50.085536011207026,-50.061350714615486,0.024185296591539895,-0.06135071461548591,True,False,,32+35
800000000,799500000,-500000,-0.000625,-50,-50.0427222073601,-50.01440742080411,0.02831478655598829,-0.014407420804111837,True,False,,32+35
